Chat,Clase
T2 Jaime 47559/10-12-2025,Facturación_Documentos
T2 Jaime 47559/11-01-2025,Facturación_Documentos
T2 Jaime 47559/11-04-2025,Gestión de Pedidos/Entregas
T2 Jaime 47559/11-10-2024,Confirmación_Estado
T2 Jaime 47559/12-02-2025,Confirmación_Estado
T2 Jaime 47559/12-06-2025,Facturación_Documentos
T2 Jaime 47559/12-08-2025,Confirmación_Estado
T2 Jaime 47559/12-09-2025,Interacción/Relacional
T2 Jaime 47559/13-06-2024,Interacción/Relacional
T2 Jaime 47559/13-12-2024,Cotización/Presupuesto
T2 Jaime 47559/14-04-2025,Cotización/Presupuesto
T2 Jaime 47559/14-12-2023,Cotización/Presupuesto
T2 Jaime 47559/15-01-2024,Gestión de Pedidos/Entregas
T2 Jaime 47559/15-07-2025,Confirmación_Estado
T2 Jaime 47559/16-02-2026,Confirmación_Estado
T2 Jaime 47559/16-06-2025,Confirmación_Estado
T2 Jaime 47559/16-10-2024,Facturación_Documentos
T2 Jaime 47559/16-11-2023,Interacción/Relacional
T2 Jaime 47559/16-12-2024,Cotización/Presupuesto
T2 Jaime 47559/17-02-2025,Facturación_Documentos
T2 Jaime 47559/17-06-2024,Confirmación_Estado
T2 Jaime 47559/17-06-2025,Facturación_Documentos
T2 Jaime 47559/17-09-2024,Confirmación_Estado
T2 Jaime 47559/17-09-2025,Facturación_Documentos
T2 Jaime 47559/17-10-2024,Gestión de Pedidos/Entregas
T2 Jaime 47559/17-11-2023,Cotización/Presupuesto
T2 Jaime 47559/18-01-2024,Confirmación_Estado
T2 Jaime 47559/18-02-2025,Facturación_Documentos
T2 Jaime 47559/18-06-2024,Cotización/Presupuesto
T2 Jaime 47559/18-08-2025,Confirmación_Estado
T2 Jaime 47559/18-10-2024,Gestión de Pedidos/Entregas
T2 Jaime 47559/19-03-2026,Gestión de Pedidos/Entregas
T2 Jaime 47559/19-06-2024,Cotización/Presupuesto
T2 Jaime 47559/19-11-2025,Gestión de Pedidos/Entregas
T2 Jaime 47559/19-12-2024,Interacción/Relacional
T2 Jaime 47559/20-02-2026,Gestión de Pedidos/Entregas
T2 Jaime 47559/20-06-2024,Facturación_Documentos
T2 Jaime 47559/20-12-2024,Interacción/Relacional
T2 Jaime 47559/21-05-2025,Confirmación_Estado
T2 Jaime 47559/21-10-2025,Confirmación_Estado
T2 Jaime 47559/21-11-2023,Cotización/Presupuesto
T2 Jaime 47559/22-04-2025,Facturación_Documentos
T2 Jaime 47559/22-08-2024,Confirmación_Estado
T2 Jaime 47559/22-10-2025,Confirmación_Estado
T2 Jaime 47559/22-11-2024,Interacción/Relacional
T2 Jaime 47559/23-01-2026,Confirmación_Estado
T2 Jaime 47559/23-03-2026,Facturación_Documentos
T2 Jaime 47559/23-04-2024,Confirmación_Estado
T2 Jaime 47559/23-04-2026,Interacción/Relacional
T2 Jaime 47559/23-11-2023,Facturación_Documentos
T2 Jaime 47559/24-02-2026,Interacción/Relacional
T2 Jaime 47559/24-10-2024,Facturación_Documentos
T2 Jaime 47559/24-11-2023,Facturación_Documentos
T2 Jaime 47559/25-04-2025,Facturación_Documentos
T2 Jaime 47559/25-11-2025,Facturación_Documentos
T2 Jaime 47559/26-03-2025,Facturación_Documentos
T2 Jaime 47559/26-03-2026,Confirmación_Estado
T2 Jaime 47559/26-11-2025,Facturación_Documentos
T2 Jaime 47559/26-12-2024,Confirmación_Estado
T2 Jaime 47559/27-05-2025,Gestión de Pedidos/Entregas
T2 Jaime 47559/27-08-2024,Confirmación_Estado
T2 Jaime 47559/27-12-2023,Confirmación_Estado
T2 Jaime 47559/28-02-2024,Gestión de Pedidos/Entregas
T2 Jaime 47559/29-04-2025,Facturación_Documentos
T2 Jaime 47559/29-05-2024,Confirmación_Estado
T2 Jaime 47559/29-05-2025,Interacción/Relacional
T2 Jaime 47559/29-11-2023,Facturación_Documentos
T2 Jaime 47559/31-05-2024,Confirmación_Estado
T2 Lesli 47721/01-12-2025,Facturación_Documentos
T2 Lesli 47721/10-04-2026,Interacción/Relacional
T2 Lesli 47721/11-04-2026,Facturación_Documentos
T2 Lesli 47721/13-04-2026,Facturación_Documentos
T2 Lesli 47721/14-04-2026,Facturación_Documentos
T2 Lesli 47721/23-01-2025,Gestión de Pedidos/Entregas
T2 Lesli 47721/24-03-2026,Interacción/Relacional
T2 Lesli 47721/24-04-2026,Soporte
T2 Lesli 47721/25-03-2026,Facturación_Documentos
T2 Lesli 47721/26-10-2024,Facturación_Documentos
T2 Lesli 47721/29-12-2025,Confirmación_Estado
T2 Lesli 47721/30-12-2025,Interacción/Relacional
T4  Carnes selec compras 19256 Sel/04-02-2026,Gestión de Pedidos/Entregas
T4  Carnes selec compras 19256 Sel/05-03-2026,Facturación_Documentos
T4  Carnes selec compras 19256 Sel/06-03-2026,Facturación_Documentos
T4  Carnes selec compras 19256 Sel/07-02-2026,Gestión de Pedidos/Entregas
T4  Carnes selec compras 19256 Sel/07-03-2026,Gestión de Pedidos/Entregas
T4  Carnes selec compras 19256 Sel/09-02-2026,Interacción/Relacional
T4  Carnes selec compras 19256 Sel/09-03-2026,Gestión de Pedidos/Entregas
T4  Carnes selec compras 19256 Sel/10-03-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/11-02-2026,Facturación_Documentos
T4  Carnes selec compras 19256 Sel/11-04-2026,Gestión de Pedidos/Entregas
T4  Carnes selec compras 19256 Sel/12-02-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/13-02-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/13-03-2026,Confirmación_Estado
T4  Carnes selec compras 19256 Sel/14-02-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/14-03-2026,Gestión de Pedidos/Entregas
T4  Carnes selec compras 19256 Sel/15-04-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/16-02-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/16-04-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/17-03-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/17-04-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/18-04-2026,Gestión de Pedidos/Entregas
T4  Carnes selec compras 19256 Sel/19-01-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/19-02-2026,Interacción/Relacional
T4  Carnes selec compras 19256 Sel/19-03-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/20-03-2026,Interacción/Relacional
T4  Carnes selec compras 19256 Sel/21-01-2026,Facturación_Documentos
T4  Carnes selec compras 19256 Sel/21-02-2026,Gestión de Pedidos/Entregas
T4  Carnes selec compras 19256 Sel/22-01-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/22-04-2026,Facturación_Documentos
T4  Carnes selec compras 19256 Sel/23-02-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/23-04-2026,Confirmación_Estado
T4  Carnes selec compras 19256 Sel/24-01-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/24-03-2026,Gestión de Pedidos/Entregas
T4  Carnes selec compras 19256 Sel/24-04-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/25-02-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/25-03-2026,Gestión de Pedidos/Entregas
T4  Carnes selec compras 19256 Sel/25-04-2026,Gestión de Pedidos/Entregas
T4  Carnes selec compras 19256 Sel/27-01-2026,Interacción/Relacional
T4  Carnes selec compras 19256 Sel/28-01-2026,Gestión de Pedidos/Entregas
T4  Carnes selec compras 19256 Sel/29-01-2026,Confirmación_Estado
T4  Carnes selec compras 19256 Sel/30-01-2026,Cotización/Presupuesto
T4  Carnes selec compras 19256 Sel/31-01-2026,Gestión de Pedidos/Entregas
T4 Angelita Río Yaqui 44208/04-03-2026,Cotización/Presupuesto
T4 Angelita Río Yaqui 44208/18-03-2026,Gestión de Pedidos/Entregas
T4 Angelita Río Yaqui 44208/21-02-2026,Interacción/Relacional
T4 Angelita Río Yaqui 44208/25-04-2026,Cotización/Presupuesto
T4 Copycos 16807/02-03-2026,Cotización/Presupuesto
T4 Copycos 16807/03-03-2026,Gestión de Pedidos/Entregas
T4 Copycos 16807/07-04-2026,Gestión de Pedidos/Entregas
T4 Copycos 16807/11-04-2026,Gestión de Pedidos/Entregas
T4 Copycos 16807/13-02-2026,Confirmación_Estado
T4 Copycos 16807/13-04-2026,Gestión de Pedidos/Entregas
T4 Copycos 16807/14-04-2026,Cotización/Presupuesto
T4 Copycos 16807/16-04-2026,Confirmación_Estado
T4 Copycos 16807/20-04-2026,Gestión de Pedidos/Entregas
T4 Copycos 16807/21-04-2026,Cotización/Presupuesto
T4 Copycos 16807/22-01-2026,Interacción/Relacional
T4 Copycos 16807/22-04-2026,Gestión de Pedidos/Entregas
T4 Copycos 16807/23-04-2026,Confirmación_Estado
T4 Copycos 16807/24-01-2026,Cotización/Presupuesto
T4 Copycos 16807/24-02-2026,Gestión de Pedidos/Entregas
T4 Copycos 16807/25-04-2026,Facturación_Documentos
T4 Cuprum Constitucion 44531/03-02-2026,Interacción/Relacional
T4 Cuprum Constitucion 44531/04-02-2026,Cotización/Presupuesto
T4 Cuprum Constitucion 44531/04-03-2026,Interacción/Relacional
T4 Cuprum Constitucion 44531/05-02-2026,Cotización/Presupuesto
T4 Cuprum Constitucion 44531/05-03-2026,Facturación_Documentos
T4 Cuprum Constitucion 44531/06-04-2026,Interacción/Relacional
T4 Cuprum Constitucion 44531/07-04-2026,Cotización/Presupuesto
T4 Cuprum Constitucion 44531/18-02-2026,Facturación_Documentos
T4 Electrica Aselco 19649/03-02-2026,Interacción/Relacional
T4 Electrica Aselco 19649/05-02-2026,Seguimiento de Ventas
T4 Electrica Aselco 19649/06-02-2026,Gestión de Pedidos/Entregas
T4 Electrica Aselco 19649/06-04-2026,Confirmación_Estado
T4 Electrica Aselco 19649/07-02-2026,Gestión de Pedidos/Entregas
T4 Electrica Aselco 19649/07-04-2026,Gestión de Pedidos/Entregas
T4 Electrica Aselco 19649/08-04-2026,Interacción/Relacional
T4 Electrica Aselco 19649/09-02-2026,Gestión de Pedidos/Entregas
T4 Electrica Aselco 19649/09-04-2026,Cotización/Presupuesto
T4 Electrica Aselco 19649/10-02-2026,Facturación_Documentos
T4 Electrica Aselco 19649/10-03-2026,Interacción/Relacional
T4 Electrica Aselco 19649/11-03-2026,Cotización/Presupuesto
T4 Electrica Aselco 19649/12-03-2026,Gestión de Pedidos/Entregas
T4 Electrica Aselco 19649/13-03-2026,Cotización/Presupuesto
T4 Electrica Aselco 19649/13-04-2026,Gestión de Pedidos/Entregas
T4 Electrica Aselco 19649/14-03-2026,Cotización/Presupuesto
T4 Electrica Aselco 19649/17-03-2026,Facturación_Documentos
T4 Electrica Aselco 19649/19-01-2026,Interacción/Relacional
T4 Electrica Aselco 19649/23-02-2026,Gestión de Pedidos/Entregas
T4 Electrica Aselco 19649/23-04-2026,Gestión de Pedidos/Entregas
T4 Electrica Aselco 19649/24-04-2026,Consulta de Precio
T4 Electrica Aselco 19649/25-04-2026,Cotización/Presupuesto
T4 Electrica Aselco 19649/26-01-2026,Interacción/Relacional
T4 Jesús Meléndez 31713/06-03-2026,Interacción/Relacional
T4 Jesús Meléndez 31713/09-03-2026,Facturación_Documentos
T4 Jesús Meléndez 31713/11-04-2026,Facturación_Documentos
T4 Jesús Meléndez 31713/13-04-2026,Facturación_Documentos
T4 Jesús Meléndez 31713/14-04-2026,Confirmación_Estado
T4 Jova Fabiola 47173/06-02-2026,Gestión de Pedidos/Entregas
T4 Jova Fabiola 47173/11-03-2026,Interacción/Relacional
T4 Jova Fabiola 47173/13-02-2026,Cotización/Presupuesto
T4 Jova Fabiola 47173/23-01-2026,Cotización/Presupuesto
T4 Jova Fabiola 47173/23-02-2026,Interacción/Relacional
T4 Jova Fabiola 47173/28-01-2026,Interacción/Relacional
T4 Katia Agrícola Vida Vida Hogar 47387/02-02-2026,Interacción/Relacional
T4 Katia Agrícola Vida Vida Hogar 47387/03-02-2026,Gestión de Pedidos/Entregas
T4 Katia Agrícola Vida Vida Hogar 47387/05-03-2026,Cotización/Presupuesto
T4 Katia Agrícola Vida Vida Hogar 47387/06-03-2026,Interacción/Relacional
T4 Katia Agrícola Vida Vida Hogar 47387/07-04-2026,Cotización/Presupuesto
T4 Katia Agrícola Vida Vida Hogar 47387/08-04-2026,Interacción/Relacional
T4 Katia Agrícola Vida Vida Hogar 47387/19-03-2026,Cotización/Presupuesto
T4 Katia Agrícola Vida Vida Hogar 47387/20-04-2026,Cotización/Presupuesto
T4 Katia Agrícola Vida Vida Hogar 47387/23-02-2026,Interacción/Relacional
T4 Katia Agrícola Vida Vida Hogar 47387/31-01-2026,Cotización/Presupuesto
T4 Mirna Jose A.Mora/12-03-2026,Gestión de Pedidos/Entregas
T4 Mirna Jose A.Mora/15-04-2026,Gestión de Pedidos/Entregas
T4 Mirna Jose A.Mora/16-04-2026,Cotización/Presupuesto
T4 Mirna Jose A.Mora/21-03-2026,Confirmación_Estado
T5 Alberto 31892 Inmobiliaria Caravi/09-02-2026,Interacción/Relacional
T5 Alberto 31892 Inmobiliaria Caravi/09-03-2026,Gestión de Pedidos/Entregas
T5 Alberto 31892 Inmobiliaria Caravi/10-04-2026,Cotización/Presupuesto
T5 Alberto 31892 Inmobiliaria Caravi/19-02-2026,Cotización/Presupuesto
T5 Alberto 31892 Inmobiliaria Caravi/22-01-2026,Interacción/Relacional
T5 Alberto 31892 Inmobiliaria Caravi/23-02-2026,Interacción/Relacional
T5 Alberto 31892 Inmobiliaria Caravi/26-03-2026,Interacción/Relacional
T5 Castilla Shaula/04-02-2026,Confirmación_Estado
T5 Castilla Shaula/05-03-2026,Cotización/Presupuesto
T5 Castilla Shaula/06-03-2026,Cotización/Presupuesto
T5 Castilla Shaula/07-04-2026,Confirmación_Estado
T5 Castilla Shaula/10-03-2026,Facturación_Documentos
T5 Castilla Shaula/11-03-2026,Cotización/Presupuesto
T5 Castilla Shaula/12-03-2026,Facturación_Documentos
T5 Castilla Shaula/13-03-2026,Gestión de Pedidos/Entregas
T5 Castilla Shaula/14-04-2026,Confirmación_Estado
T5 Castilla Shaula/15-04-2026,Confirmación_Estado
T5 Castilla Shaula/17-02-2026,Facturación_Documentos
T5 Castilla Shaula/17-03-2026,Confirmación_Estado
T5 Castilla Shaula/17-04-2026,Cotización/Presupuesto
T5 Castilla Shaula/19-01-2026,Gestión de Pedidos/Entregas
T5 Castilla Shaula/20-03-2026,Confirmación_Estado
T5 Castilla Shaula/20-04-2026,Gestión de Pedidos/Entregas
T5 Castilla Shaula/21-01-2026,Cotización/Presupuesto
T5 Castilla Shaula/22-01-2026,Cotización/Presupuesto
T5 Castilla Shaula/23-02-2026,Confirmación_Estado
T5 Castilla Shaula/23-04-2026,Facturación_Documentos
T5 Castilla Shaula/24-02-2026,Facturación_Documentos
T5 Castilla Shaula/24-03-2026,Facturación_Documentos
T5 Castilla Shaula/24-04-2026,Facturación_Documentos
T5 Castilla Shaula/27-01-2026,Confirmación_Estado
T5 Castilla Shaula/27-02-2026,Facturación_Documentos
T5 Castilla Shaula/28-01-2026,Consulta de Precio
T5 Elizabeth Productora De Alimentos/04-02-2026,Facturación_Documentos
T5 Elizabeth Productora De Alimentos/05-02-2026,Facturación_Documentos
T5 Elizabeth Productora De Alimentos/07-04-2026,Gestión de Pedidos/Entregas
T5 Elizabeth Productora De Alimentos/09-02-2026,Gestión de Pedidos/Entregas
T5 Elizabeth Productora De Alimentos/09-04-2026,Cotización/Presupuesto
T5 Elizabeth Productora De Alimentos/11-03-2026,Gestión de Pedidos/Entregas
T5 Elizabeth Productora De Alimentos/12-02-2026,Gestión de Pedidos/Entregas
T5 Elizabeth Productora De Alimentos/12-03-2026,Gestión de Pedidos/Entregas
T5 Elizabeth Productora De Alimentos/17-02-2026,Cotización/Presupuesto
T5 Elizabeth Productora De Alimentos/18-03-2026,Cotización/Presupuesto
T5 Elizabeth Productora De Alimentos/19-02-2026,Confirmación_Estado
T5 Elizabeth Productora De Alimentos/19-03-2026,Interacción/Relacional
T5 Elizabeth Productora De Alimentos/20-01-2026,Gestión de Pedidos/Entregas
T5 Elizabeth Productora De Alimentos/21-04-2026,Confirmación_Estado
T5 Elizabeth Productora De Alimentos/23-01-2026,Gestión de Pedidos/Entregas
T5 Elizabeth Productora De Alimentos/23-04-2026,Interacción/Relacional
T5 Elizabeth Productora De Alimentos/24-02-2026,Interacción/Relacional
T5 Elizabeth Productora De Alimentos/25-02-2026,Facturación_Documentos
T5 Elizabeth Productora De Alimentos/25-03-2026,Gestión de Pedidos/Entregas
T5 Elizabeth Productora De Alimentos/26-01-2026,Cotización/Presupuesto
T5 Elizabeth Productora De Alimentos/26-02-2026,Gestión de Pedidos/Entregas
T5 Elizabeth Productora De Alimentos/27-02-2026,Gestión de Pedidos/Entregas
T5 Mirna 10149/09-02-2026,Facturación_Documentos
T5 Mirna 10149/09-03-2026,Gestión de Pedidos/Entregas
T5 Mirna 10149/25-04-2026,Facturación_Documentos
T5 Oriana Tribunal Agrario/05-02-2026,Interacción/Relacional
T5 Oriana Tribunal Agrario/16-04-2026,Cotización/Presupuesto
T5 Oriana Tribunal Agrario/18-03-2026,Facturación_Documentos
T5 Oriana Tribunal Agrario/20-01-2026,Confirmación_Estado
T5 Oriana Tribunal Agrario/22-01-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/02-03-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/03-02-2026,Facturación_Documentos
T5 Raul Vama/03-03-2026,Confirmación_Estado
T5 Raul Vama/05-03-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/06-03-2026,Confirmación_Estado
T5 Raul Vama/06-04-2026,Cotización/Presupuesto
T5 Raul Vama/07-02-2026,Facturación_Documentos
T5 Raul Vama/07-04-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/08-04-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/09-03-2026,Confirmación_Estado
T5 Raul Vama/10-02-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/10-03-2026,Confirmación_Estado
T5 Raul Vama/10-04-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/11-02-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/11-03-2026,Cancelación
T5 Raul Vama/11-04-2026,Confirmación_Estado
T5 Raul Vama/12-02-2026,Confirmación_Estado
T5 Raul Vama/13-02-2026,Confirmación_Estado
T5 Raul Vama/13-04-2026,Confirmación_Estado
T5 Raul Vama/16-04-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/17-02-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/17-03-2026,Confirmación_Estado
T5 Raul Vama/18-02-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/18-03-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/18-04-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/19-01-2026,Confirmación_Estado
T5 Raul Vama/19-02-2026,Facturación_Documentos
T5 Raul Vama/19-03-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/20-02-2026,Confirmación_Estado
T5 Raul Vama/20-04-2026,Cotización/Presupuesto
T5 Raul Vama/21-01-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/21-04-2026,Cotización/Presupuesto
T5 Raul Vama/23-01-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/23-04-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/24-04-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/27-02-2026,Gestión de Pedidos/Entregas
T5 Raul Vama/28-02-2026,Facturación_Documentos
T5 Raul Vama/31-01-2026,Gestión de Pedidos/Entregas
t6 CASSANDRA ADMINISTRACION CHINIZA/07-03-2026,Gestión de Pedidos/Entregas
t6 CASSANDRA ADMINISTRACION CHINIZA/09-02-2026,Facturación_Documentos
t6 CASSANDRA ADMINISTRACION CHINIZA/11-02-2026,Confirmación_Estado
t6 CASSANDRA ADMINISTRACION CHINIZA/14-04-2026,Confirmación_Estado
t6 CASSANDRA ADMINISTRACION CHINIZA/16-04-2026,Confirmación_Estado
t6 CASSANDRA ADMINISTRACION CHINIZA/23-03-2026,Confirmación_Estado
t6 CASSANDRA ADMINISTRACION CHINIZA/27-02-2026,Interacción/Relacional
t6 CASSANDRA ADMINISTRACION CHINIZA/28-03-2026,Interacción/Relacional
T6 Cleotilde Kimivac Olivas/09-03-2026,Confirmación_Estado
T6 Cleotilde Kimivac Olivas/12-02-2026,Confirmación_Estado
T6 Cleotilde Kimivac Olivas/23-04-2026,Cotización/Presupuesto
T6 Cleotilde Kimivac Olivas/25-04-2026,Cotización/Presupuesto
T6 Cleotilde Kimivac Olivas/28-01-2026,Interacción/Relacional
T6 Cleotilde Kimivac Olivas/29-01-2026,Cotización/Presupuesto
T6 Cleotilde Kimivac Olivas/30-01-2026,Cotización/Presupuesto
T6 Maricela (41378) Jose Ángel Perez/05-02-2026,Facturación_Documentos
T6 Maricela (41378) Jose Ángel Perez/24-04-2026,Gestión de Pedidos/Entregas
T6 Maricela (41378) Jose Ángel Perez/28-02-2026,Gestión de Pedidos/Entregas
T6 Michelle GPS (45574)/09-04-2026,Confirmación_Estado
T6 Michelle GPS (45574)/14-04-2026,Gestión de Pedidos/Entregas
T6 Michelle GPS (45574)/15-04-2026,Interacción/Relacional
T6 Michelle GPS (45574)/21-04-2026,Cotización/Presupuesto
T6 Michelle GPS (45574)/22-04-2026,Cotización/Presupuesto
T6 Michelle GPS (45574)/23-04-2026,Consulta de Precio
T6 Michelle GPS (45574)/24-04-2026,Confirmación_Estado
T6 Michelle GPS (45574)/25-04-2026,Gestión de Pedidos/Entregas
T6 Michelle GPS (45574)/27-03-2026,Facturación_Documentos
T6 Michelle GPS (45574)/30-03-2026,Gestión de Pedidos/Entregas
t6 Patty (40056) 777 MSI DIAMANTE 2/02-03-2026,Gestión de Pedidos/Entregas
t6 Patty (40056) 777 MSI DIAMANTE 2/03-03-2026,Facturación_Documentos
t6 Patty (40056) 777 MSI DIAMANTE 2/04-02-2026,Facturación_Documentos
t6 Patty (40056) 777 MSI DIAMANTE 2/04-03-2026,Confirmación_Estado
t6 Patty (40056) 777 MSI DIAMANTE 2/06-02-2026,Interacción/Relacional
t6 Patty (40056) 777 MSI DIAMANTE 2/06-03-2026,Facturación_Documentos
t6 Patty (40056) 777 MSI DIAMANTE 2/07-03-2026,Confirmación_Estado
t6 Patty (40056) 777 MSI DIAMANTE 2/09-03-2026,Cotización/Presupuesto
t6 Patty (40056) 777 MSI DIAMANTE 2/10-02-2026,Confirmación_Estado
t6 Patty (40056) 777 MSI DIAMANTE 2/10-03-2026,Cotización/Presupuesto
t6 Patty (40056) 777 MSI DIAMANTE 2/11-03-2026,Confirmación_Estado
t6 Patty (40056) 777 MSI DIAMANTE 2/14-04-2026,Facturación_Documentos
t6 Patty (40056) 777 MSI DIAMANTE 2/15-04-2026,Confirmación_Estado
t6 Patty (40056) 777 MSI DIAMANTE 2/16-04-2026,Gestión de Pedidos/Entregas
t6 Patty (40056) 777 MSI DIAMANTE 2/18-03-2026,Confirmación_Estado
t6 Patty (40056) 777 MSI DIAMANTE 2/20-04-2026,Facturación_Documentos
t6 Patty (40056) 777 MSI DIAMANTE 2/21-04-2026,Interacción/Relacional
t6 Patty (40056) 777 MSI DIAMANTE 2/23-04-2026,Confirmación_Estado
t6 Patty (40056) 777 MSI DIAMANTE 2/24-04-2026,Facturación_Documentos
t6 Patty (40056) 777 MSI DIAMANTE 2/25-04-2026,Confirmación_Estado
t6 Patty (40056) 777 MSI DIAMANTE 2/28-03-2026,Facturación_Documentos
T6 Sistemas de Impresion Elect. Compras/02-03-2026,Cotización/Presupuesto
T6 Sistemas de Impresion Elect. Compras/03-02-2026,Confirmación_Estado
T6 Sistemas de Impresion Elect. Compras/03-03-2026,Confirmación_Estado
T6 Sistemas de Impresion Elect. Compras/04-02-2026,Confirmación_Estado
T6 Sistemas de Impresion Elect. Compras/05-02-2026,Confirmación_Estado
T6 Sistemas de Impresion Elect. Compras/05-03-2026,Facturación_Documentos
T6 Sistemas de Impresion Elect. Compras/06-02-2026,Gestión de Pedidos/Entregas
T6 Sistemas de Impresion Elect. Compras/06-03-2026,Facturación_Documentos
T6 Sistemas de Impresion Elect. Compras/06-04-2026,Cotización/Presupuesto
T6 Sistemas de Impresion Elect. Compras/07-03-2026,Facturación_Documentos
T6 Sistemas de Impresion Elect. Compras/07-04-2026,Confirmación_Estado
T6 Sistemas de Impresion Elect. Compras/08-04-2026,Cotización/Presupuesto
T6 Sistemas de Impresion Elect. Compras/09-02-2026,Confirmación_Estado
T6 Sistemas de Impresion Elect. Compras/09-04-2026,Cotización/Presupuesto
T6 Sistemas de Impresion Elect. Compras/10-02-2026,Gestión de Pedidos/Entregas
T6 Sistemas de Impresion Elect. Compras/10-04-2026,Gestión de Pedidos/Entregas
T6 Sistemas de Impresion Elect. Compras/11-02-2026,Gestión de Pedidos/Entregas
T6 Sistemas de Impresion Elect. Compras/11-04-2026,Confirmación_Estado
T6 Sistemas de Impresion Elect. Compras/12-02-2026,Interacción/Relacional
T6 Sistemas de Impresion Elect. Compras/12-03-2026,Cotización/Presupuesto
T6 Sistemas de Impresion Elect. Compras/13-02-2026,Cotización/Presupuesto
T6 Sistemas de Impresion Elect. Compras/13-04-2026,Cotización/Presupuesto
T6 Sistemas de Impresion Elect. Compras/14-04-2026,Confirmación_Estado
T6 Sistemas de Impresion Elect. Compras/16-02-2026,Interacción/Relacional
T6 Sistemas de Impresion Elect. Compras/17-03-2026,Gestión de Pedidos/Entregas
T6 Sistemas de Impresion Elect. Compras/17-04-2026,Cotización/Presupuesto
T6 Sistemas de Impresion Elect. Compras/18-02-2026,Interacción/Relacional
T6 Sistemas de Impresion Elect. Compras/19-01-2026,Facturación_Documentos
T6 Sistemas de Impresion Elect. Compras/19-02-2026,Interacción/Relacional
T6 Sistemas de Impresion Elect. Compras/19-03-2026,Interacción/Relacional
T6 Sistemas de Impresion Elect. Compras/20-01-2026,Cotización/Presupuesto
T6 Sistemas de Impresion Elect. Compras/20-02-2026,Interacción/Relacional
T6 Sistemas de Impresion Elect. Compras/20-03-2026,Interacción/Relacional
T6 Sistemas de Impresion Elect. Compras/20-04-2026,Interacción/Relacional
T6 Sistemas de Impresion Elect. Compras/21-04-2026,Cotización/Presupuesto
T6 Sistemas de Impresion Elect. Compras/22-01-2026,Facturación_Documentos
T6 Sistemas de Impresion Elect. Compras/22-04-2026,Confirmación_Estado
T6 Sistemas de Impresion Elect. Compras/23-01-2026,Facturación_Documentos
T6 Sistemas de Impresion Elect. Compras/23-02-2026,Confirmación_Estado
T6 Sistemas de Impresion Elect. Compras/23-03-2026,Confirmación_Estado
T6 Sistemas de Impresion Elect. Compras/23-04-2026,Facturación_Documentos
T6 Sistemas de Impresion Elect. Compras/24-02-2026,Interacción/Relacional
T6 Sistemas de Impresion Elect. Compras/24-03-2026,Interacción/Relacional
T6 Sistemas de Impresion Elect. Compras/24-04-2026,Facturación_Documentos
T6 Sistemas de Impresion Elect. Compras/25-02-2026,Gestión de Pedidos/Entregas
T6 Sistemas de Impresion Elect. Compras/25-03-2026,Cotización/Presupuesto
T6 Sistemas de Impresion Elect. Compras/25-04-2026,Gestión de Pedidos/Entregas
T6 Sistemas de Impresion Elect. Compras/26-02-2026,Facturación_Documentos
T6 Sistemas de Impresion Elect. Compras/27-01-2026,Interacción/Relacional
T6 Sistemas de Impresion Elect. Compras/27-03-2026,Interacción/Relacional
T6 Sistemas de Impresion Elect. Compras/28-01-2026,Interacción/Relacional
